policy_number,policy_deductible,policy_annual_premium,umbrella_limit,insured_age,incident_hour_of_the_day,collision_type,number_of_vehicles,total_claim_amount,fraud_reported
POL68295,2000,1187,50000,23,18,Rear-End,1,15021,No
POL15942,1000,1640,100000,35,14,Hit & Run,2,10130,No
POL93175,2000,1544,50000,30,3,Hit & Run,1,11172,Yes
POL56565,500,2309,100000,80,1,Hit & Run,1,13038,Yes
POL67702,1000,1893,150000,81,0,Rear-End,5,16014,No
POL68314,1000,940,150000,51,7,Side Impact,2,2927,No
POL51394,2000,2527,100000,26,6,Hit & Run,3,10618,Yes
POL20170,500,1674,100000,85,4,Front Collision,4,2168,No
POL14558,500,1772,150000,45,10,Rollover,3,1469,No
POL57813,2000,2220,150000,72,5,Hit & Run,4,13268,No
POL87220,1000,1537,150000,81,0,Rear-End,5,9393,No
POL99185,2000,884,50000,30,2,Side Impact,4,7860,No
POL23536,500,2963,100000,49,20,Front Collision,4,6004,No
POL24377,500,2006,100000,41,14,Rear-End,2,7105,No
POL68189,500,648,150000,19,14,Rear-End,2,3919,No
POL96085,2000,1888,100000,42,8,Rear-End,4,2887,No
POL99097,2000,942,50000,35,19,Rollover,5,3388,No
POL10376,2000,2644,50000,72,19,Hit & Run,1,4394,No
POL62391,500,841,150000,60,15,Side Impact,5,2630,No
POL47408,1000,1333,100000,56,13,Rollover,3,11061,No
POL58085,1000,1881,150000,43,9,Hit & Run,2,17072,Yes
POL72188,1000,854,150000,78,12,Front Collision,2,11412,No
POL12667,1000,836,50000,22,18,Rear-End,3,10418,No
POL27589,2000,2144,50000,44,23,Side Impact,1,3200,No
POL47599,500,1062,50000,75,16,Front Collision,4,17662,No
POL28139,500,2240,150000,48,10,Rollover,3,11902,No
POL94501,500,2955,50000,76,16,Front Collision,3,3335,No
POL52148,1000,1921,150000,42,7,Front Collision,4,10642,No
POL64529,1000,1731,100000,72,12,Hit & Run,4,19501,No
POL10899,500,754,150000,65,10,Side Impact,3,15322,No
POL86388,500,2078,50000,29,2,Front Collision,5,7680,No
POL67652,2000,2109,100000,82,2,Front Collision,3,3426,No
POL93661,500,1981,50000,75,15,Side Impact,5,7478,No
POL32281,1000,1549,100000,33,10,Front Collision,1,12890,No
POL39194,1000,1111,100000,74,18,Hit & Run,1,11227,No
POL56133,2000,2750,50000,65,6,Front Collision,4,2035,No
POL57005,1000,2269,100000,55,17,Hit & Run,5,11643,No
POL49316,2000,2116,100000,53,20,Rollover,5,15195,Yes
POL85135,2000,2662,50000,20,4,Front Collision,5,5203,Yes
POL48890,500,539,50000,67,13,Rollover,1,17475,No
POL81689,1000,1022,150000,33,5,Rear-End,3,11073,No
POL84420,2000,1268,50000,55,11,Side Impact,3,5294,No
POL90202,2000,1027,150000,55,11,Rollover,2,18489,No
POL39165,2000,780,150000,79,4,Rear-End,1,4944,No
POL85800,1000,988,100000,34,20,Front Collision,2,3972,No
POL55847,500,1631,150000,42,22,Side Impact,2,4364,No
POL82122,1000,751,100000,22,6,Rollover,4,6928,No
POL17813,2000,2362,100000,26,0,Side Impact,4,2190,No
POL85910,500,2089,150000,72,4,Rear-End,3,8189,No
POL35256,500,2561,100000,67,13,Side Impact,3,6378,No
POL98565,2000,1185,50000,80,21,Front Collision,2,17272,No
POL60027,500,1793,150000,66,17,Rollover,3,10330,No
POL14909,500,2726,50000,66,22,Front Collision,4,8644,Yes
POL86978,500,501,100000,47,18,Rollover,2,7162,No
POL64049,1000,2699,150000,56,11,Rear-End,1,18956,No
POL57024,2000,2520,100000,63,4,Front Collision,4,18340,No
POL79175,500,2474,100000,20,12,Rear-End,1,15608,Yes
POL81562,2000,1836,50000,46,18,Hit & Run,1,6752,No
POL26978,1000,1893,50000,33,22,Side Impact,4,7655,No
POL60519,500,2981,50000,73,7,Rollover,3,16202,Yes
POL56958,500,2949,50000,83,4,Front Collision,1,15814,Yes
POL37308,500,1323,50000,53,15,Rollover,1,8494,No
POL80444,2000,1531,50000,56,7,Rollover,2,8473,No
POL93230,1000,1864,50000,25,21,Hit & Run,5,9048,No
POL84188,2000,941,100000,79,15,Rollover,3,2059,No
POL58235,1000,1119,150000,36,4,Hit & Run,5,15617,Yes
POL41076,500,2809,150000,21,5,Hit & Run,4,18741,Yes
POL91305,1000,2200,150000,82,4,Rollover,3,4236,No
POL67178,500,2042,100000,78,21,Rear-End,3,7528,No
POL42531,1000,1617,50000,27,8,Hit & Run,1,7306,No
POL45830,1000,2033,150000,22,11,Rear-End,1,2025,No
POL55106,1000,2351,100000,32,16,Rollover,3,15686,No
POL49162,2000,2354,50000,74,20,Front Collision,2,11171,No
POL95028,500,2283,100000,41,11,Hit & Run,4,17277,Yes
POL41911,500,2457,150000,46,3,Front Collision,5,15071,Yes
POL52485,2000,570,100000,70,21,Rear-End,1,10095,No
POL75452,500,2976,150000,58,19,Front Collision,3,8355,No
POL87587,1000,798,150000,42,8,Rollover,4,2463,No
POL20461,2000,854,100000,34,14,Rollover,1,9004,No
POL98330,1000,612,150000,28,2,Front Collision,5,16766,No
POL23502,1000,2398,50000,62,0,Front Collision,5,11548,No
POL64462,1000,1074,150000,28,6,Front Collision,1,13559,No
POL68385,1000,762,50000,51,4,Hit & Run,2,11120,Yes
POL38265,500,2681,100000,40,22,Side Impact,3,6656,No
POL51442,500,2370,150000,74,19,Rear-End,1,12230,No
POL55109,2000,2479,100000,37,15,Rear-End,5,4837,No
POL40763,500,2651,150000,34,12,Rollover,4,6509,No
POL78879,500,845,150000,35,17,Side Impact,5,16248,No
POL74993,1000,1524,150000,49,21,Hit & Run,2,17315,No
POL76517,500,2998,50000,75,1,Rear-End,3,11121,Yes
POL78756,1000,785,50000,39,15,Side Impact,4,6011,No
POL80039,2000,2388,100000,60,20,Rear-End,4,15749,No
POL58155,500,806,100000,38,0,Hit & Run,5,1852,Yes
POL35236,1000,2289,50000,62,13,Rollover,5,14554,No
POL74048,500,2909,50000,55,1,Rear-End,3,10401,Yes
POL74013,500,2919,50000,47,9,Hit & Run,4,15767,Yes
POL14730,2000,2377,100000,54,22,Side Impact,2,17334,No
POL61942,2000,540,50000,80,4,Side Impact,1,6986,No
POL54103,1000,1399,150000,44,18,Hit & Run,1,16538,No
POL45326,500,2693,50000,64,4,Hit & Run,3,16314,Yes
POL84447,1000,1254,150000,56,5,Side Impact,3,8026,No
POL33341,500,1570,100000,52,14,Rear-End,5,15386,No
POL43742,1000,902,150000,42,18,Front Collision,5,4734,No
POL62004,1000,1457,150000,35,20,Rear-End,3,17912,No
POL16912,1000,2791,50000,76,14,Hit & Run,5,5911,Yes
POL15958,2000,2306,150000,18,13,Front Collision,5,12136,No
POL25961,2000,1775,50000,36,6,Rollover,1,13756,No
POL41378,1000,2530,150000,68,6,Front Collision,4,10852,No
POL43629,500,1351,150000,19,4,Rollover,2,10909,No
POL22963,500,834,100000,62,3,Front Collision,5,12384,No
POL31492,2000,1148,100000,83,1,Hit & Run,2,18724,Yes
POL65989,1000,943,50000,85,22,Hit & Run,1,14581,No
POL51322,500,1036,100000,62,23,Hit & Run,3,2812,Yes
POL52939,1000,516,50000,32,5,Rear-End,2,10246,No
POL93805,500,921,150000,57,7,Rear-End,1,3219,No
POL40738,1000,2880,150000,80,2,Side Impact,4,16881,Yes
POL33215,500,793,150000,55,21,Hit & Run,1,13475,No
POL50226,2000,1497,100000,76,12,Side Impact,4,3083,No
POL59047,2000,1882,50000,66,13,Hit & Run,4,13369,Yes
POL19175,1000,2115,150000,64,14,Rollover,1,15976,No
POL71589,2000,2021,100000,39,10,Hit & Run,2,11452,No
POL62651,1000,659,50000,39,4,Rear-End,5,1661,No
POL84992,2000,2070,50000,20,11,Rear-End,3,8496,No
POL97984,1000,1937,100000,46,3,Front Collision,2,5912,No
POL15592,2000,712,100000,38,11,Front Collision,3,14781,No
POL49363,500,2674,150000,46,17,Front Collision,2,2608,No
POL12960,1000,1433,100000,71,18,Rear-End,3,1535,No
POL25375,1000,1687,150000,32,11,Rollover,5,9737,No
POL96794,500,779,150000,38,18,Side Impact,4,16156,No
POL34101,2000,1289,150000,74,7,Rollover,1,3057,Yes
POL33534,1000,688,100000,64,19,Side Impact,4,7246,No
POL49994,500,2971,50000,37,2,Front Collision,3,9101,Yes
POL58959,1000,2570,100000,41,6,Rollover,5,19657,No
POL74190,500,1575,100000,32,1,Front Collision,1,2589,No
POL58337,500,2065,50000,85,2,Front Collision,1,1705,No
POL85767,2000,1058,100000,75,2,Hit & Run,3,3362,Yes
POL89656,500,2057,50000,37,12,Rear-End,4,17391,No
POL55033,1000,1248,50000,39,6,Hit & Run,5,15318,No
POL13021,500,1028,100000,28,23,Hit & Run,4,5406,Yes
POL66927,1000,2370,150000,42,12,Side Impact,1,18436,No
POL68681,500,1898,150000,46,23,Front Collision,3,10803,No
POL53829,1000,1326,150000,49,19,Rear-End,5,7317,No
POL68242,500,2799,150000,38,11,Front Collision,4,18810,Yes
POL98628,500,1220,50000,82,22,Hit & Run,3,3895,No
POL65149,2000,954,150000,82,13,Hit & Run,2,17828,No
POL84638,1000,2171,50000,45,9,Hit & Run,1,14757,No
POL93843,2000,2849,50000,58,4,Side Impact,4,5080,Yes
POL40258,2000,2835,50000,69,1,Side Impact,4,18354,Yes
POL48957,500,2934,50000,78,1,Front Collision,4,13897,Yes
POL32308,500,1795,100000,81,3,Rollover,2,2009,No
POL68186,500,866,150000,36,0,Rollover,5,7644,No
POL19662,2000,711,150000,35,8,Front Collision,4,7867,No
POL58907,2000,2431,150000,23,10,Front Collision,5,8167,No
POL43741,1000,2912,100000,39,11,Front Collision,3,7221,No
POL94989,1000,535,50000,76,19,Side Impact,1,14425,No
POL87713,500,2557,50000,77,8,Rollover,2,12010,No
POL95112,2000,2109,50000,83,18,Side Impact,4,10108,No
POL66540,2000,931,50000,70,7,Rollover,3,4627,No
POL59371,500,2445,50000,83,7,Rear-End,3,2316,No
POL78688,1000,768,100000,42,12,Rear-End,1,16311,No
POL13543,500,1032,100000,25,21,Side Impact,3,13900,No
POL56102,2000,933,50000,82,7,Hit & Run,4,13114,No
POL76939,500,2943,50000,50,10,Front Collision,5,8170,Yes
POL48196,2000,570,50000,69,14,Hit & Run,5,2783,No
POL84593,500,2908,100000,24,4,Front Collision,5,7768,Yes
POL29931,1000,2826,150000,65,16,Side Impact,5,5506,No
POL97086,500,2287,150000,37,10,Front Collision,1,19073,No
POL41686,1000,1387,100000,35,2,Front Collision,2,13403,No
POL26041,1000,1081,50000,69,16,Front Collision,4,13795,No
POL89910,2000,2321,150000,45,7,Side Impact,3,9671,No
POL29034,1000,768,150000,34,10,Rollover,4,18732,No
POL79891,2000,2304,150000,42,13,Hit & Run,3,9989,No
POL28200,500,1202,100000,39,11,Hit & Run,4,13387,Yes
POL87518,2000,2970,150000,28,14,Rollover,2,19076,No
POL58429,1000,637,50000,70,6,Hit & Run,1,1858,Yes
POL33787,500,1833,150000,54,20,Rollover,5,4111,No
POL32941,2000,1033,100000,65,10,Front Collision,2,10354,No
POL32657,2000,2562,50000,30,16,Rear-End,2,3839,No
POL63063,1000,981,100000,63,23,Rollover,3,11822,No
POL41887,2000,2809,50000,66,2,Front Collision,5,2063,Yes
POL66588,500,2997,150000,59,7,Rollover,3,7402,No
POL44441,2000,2007,150000,51,13,Rear-End,2,17346,No
POL40597,1000,578,150000,32,18,Front Collision,1,15240,No
POL93599,2000,1065,100000,78,6,Front Collision,3,1272,Yes
POL48444,1000,1564,100000,54,9,Front Collision,2,5907,No
POL15336,500,2118,150000,59,22,Front Collision,2,9856,No
POL25875,2000,2117,100000,42,0,Side Impact,5,18131,No
POL40033,500,1306,50000,24,4,Rollover,2,15258,Yes
POL28380,500,957,150000,69,8,Rear-End,2,16301,No
POL29804,2000,1019,100000,27,19,Rollover,4,11841,No
POL17574,2000,2376,150000,61,19,Front Collision,4,14985,No
POL78813,1000,2119,50000,19,16,Side Impact,1,5923,No
POL73580,500,1134,50000,41,19,Front Collision,5,12295,No
POL21910,500,1382,150000,41,16,Front Collision,5,14530,No
POL92523,500,2269,150000,23,16,Rollover,2,10250,No
POL95933,2000,1634,100000,78,21,Rollover,2,14917,No
POL56767,500,1405,100000,40,10,Side Impact,3,2247,No
POL86150,2000,902,50000,71,0,Rear-End,3,10524,No
POL88340,2000,2187,150000,40,4,Front Collision,1,2294,No
POL72599,2000,1608,100000,28,17,Side Impact,2,4020,No
POL76847,1000,2982,100000,44,18,Hit & Run,5,4135,Yes
POL42924,2000,2956,100000,36,4,Front Collision,3,10142,Yes
POL59939,2000,2642,150000,48,19,Side Impact,4,18077,No
POL85784,2000,1991,100000,70,21,Side Impact,1,8817,No
POL14002,500,2707,100000,80,16,Rear-End,5,5471,Yes
POL62507,1000,1770,100000,38,3,Rear-End,4,1612,No
POL38021,1000,1543,100000,70,18,Front Collision,5,2316,No
POL90528,1000,2367,100000,85,20,Rollover,1,12489,No
POL45739,2000,703,100000,63,7,Hit & Run,2,2602,No
POL96686,2000,1683,50000,18,21,Hit & Run,3,19269,No
POL69165,500,2953,50000,26,8,Rollover,4,17943,Yes
POL17957,1000,2469,100000,20,21,Hit & Run,5,7588,No
POL79770,2000,2211,150000,73,1,Rollover,5,15341,No
POL61189,500,2157,100000,70,23,Rollover,5,19746,Yes
POL47418,1000,2498,100000,23,19,Rollover,1,7359,No
POL28795,500,1801,50000,33,14,Side Impact,5,19606,No
POL22201,1000,2021,100000,74,2,Rear-End,3,3956,No
POL61609,2000,2832,50000,63,20,Rear-End,2,3669,No
POL85509,1000,1496,50000,50,9,Side Impact,3,4386,No
POL16256,500,573,150000,48,10,Front Collision,4,13741,No
POL37358,1000,740,150000,62,13,Hit & Run,4,2375,No
POL99150,500,2023,100000,48,15,Side Impact,3,10424,No
POL85409,2000,1753,150000,32,23,Rollover,3,5134,No
POL30652,1000,1059,50000,22,12,Front Collision,1,15947,No
POL87017,500,1331,100000,71,17,Side Impact,5,15452,No
POL71420,2000,2967,50000,56,18,Front Collision,1,11260,No
POL21273,1000,2593,50000,29,19,Side Impact,5,10675,Yes
POL10827,500,1989,50000,62,23,Hit & Run,1,11986,Yes
POL39958,2000,900,100000,81,10,Front Collision,1,3864,No
POL14969,1000,2695,150000,56,9,Side Impact,3,8384,No
POL44424,2000,2796,50000,82,22,Side Impact,2,14574,No
POL69476,500,524,100000,67,23,Side Impact,3,15179,No
POL84029,500,874,150000,40,21,Hit & Run,5,4547,Yes
POL29626,1000,2674,100000,51,3,Hit & Run,4,10567,Yes
POL79445,500,1584,150000,59,15,Hit & Run,1,12660,No
POL55561,500,2910,100000,40,7,Rollover,2,8953,No
POL45867,2000,1143,50000,28,5,Front Collision,2,15634,No
POL49393,1000,2324,150000,37,12,Side Impact,5,10665,No
POL28912,2000,2023,150000,32,12,Rear-End,3,1083,No
POL97968,1000,1107,150000,85,1,Side Impact,3,16728,No
POL65853,1000,2075,50000,78,22,Hit & Run,1,18973,No
POL40347,500,960,50000,35,3,Rollover,4,11441,No
POL81120,500,1850,100000,28,23,Rear-End,4,1342,No
POL92668,2000,1337,50000,50,7,Side Impact,4,10170,No
POL26621,2000,2860,50000,60,17,Side Impact,1,3126,No
POL81557,2000,2402,50000,81,0,Rollover,4,13465,No
POL34976,1000,2633,150000,69,3,Rear-End,1,9098,No
POL61719,2000,761,100000,69,14,Side Impact,3,14296,No
POL43254,500,2112,100000,61,13,Side Impact,3,16101,No
POL26677,500,2309,50000,66,1,Hit & Run,5,14418,Yes
POL10625,1000,2334,100000,30,23,Rear-End,5,11300,No
POL87480,1000,519,50000,85,1,Front Collision,1,17204,Yes
POL73841,500,894,50000,31,19,Hit & Run,5,5933,No
POL58876,1000,2163,100000,69,3,Front Collision,3,1502,No
POL31764,2000,1160,50000,18,5,Rear-End,4,13735,Yes
POL17956,500,1701,150000,59,0,Rollover,1,5143,No
POL66013,1000,2005,50000,44,22,Front Collision,2,2781,No
POL95867,2000,1465,50000,32,22,Front Collision,4,8732,No
POL82578,500,2067,150000,33,11,Side Impact,3,11488,No
POL44728,1000,1695,150000,30,11,Front Collision,5,2111,No
POL89674,2000,2816,100000,29,14,Rollover,1,11093,No
POL70060,500,2494,100000,49,8,Rollover,4,18499,No
POL30303,2000,2293,150000,47,11,Front Collision,3,16039,No
POL18897,500,2564,50000,41,18,Rear-End,5,11889,No
POL94986,1000,2095,150000,39,23,Rollover,4,5265,No
POL71122,500,2347,50000,84,15,Hit & Run,1,15525,Yes
POL67459,1000,2194,50000,57,2,Rollover,3,13488,No
POL47912,2000,2854,50000,81,11,Side Impact,3,6405,Yes
POL37740,2000,1492,150000,31,5,Rollover,4,2812,No
POL37436,500,699,100000,70,10,Front Collision,5,13842,No
POL16016,1000,2642,50000,58,16,Rear-End,2,18795,No
POL36380,2000,991,100000,24,22,Hit & Run,5,11588,No
POL14726,2000,2621,150000,18,7,Front Collision,2,19573,No
POL46992,1000,1605,100000,54,3,Hit & Run,5,7892,Yes
POL78010,2000,2159,150000,56,3,Rollover,5,19009,No
POL26560,500,1741,150000,44,22,Hit & Run,3,16855,Yes
POL90187,500,2188,150000,28,10,Rear-End,4,10279,No
POL35709,500,1200,100000,60,18,Side Impact,5,1023,No
POL59975,1000,2840,100000,21,4,Hit & Run,4,1520,Yes
POL70029,500,2642,100000,59,3,Side Impact,3,8557,Yes
POL31639,500,1187,50000,61,17,Front Collision,4,18688,No
POL18047,1000,2106,50000,37,20,Rollover,5,12984,No
POL40101,1000,1318,100000,28,7,Rollover,5,8580,No
POL29623,500,1912,150000,69,0,Rollover,4,2454,No
POL26243,1000,2272,150000,34,11,Hit & Run,3,12528,No
POL60864,2000,552,150000,43,6,Side Impact,1,19883,No
POL19799,1000,1314,50000,72,15,Rear-End,2,14872,No
POL61479,2000,1871,50000,18,16,Front Collision,5,16093,No
POL38884,1000,2959,150000,82,6,Front Collision,5,8438,No
POL49435,1000,2823,100000,66,21,Front Collision,2,2497,No
POL60189,2000,654,50000,72,2,Rear-End,1,5228,No
POL51459,1000,1699,50000,57,9,Hit & Run,5,12724,No
POL55293,1000,1707,50000,23,21,Hit & Run,1,13983,No
POL25902,2000,1248,100000,62,7,Front Collision,5,11040,No
POL76817,2000,936,150000,76,6,Rear-End,4,16160,No
POL22996,1000,2068,100000,72,1,Rear-End,1,13944,No
POL16937,2000,2124,150000,63,16,Rollover,2,19474,No
POL22360,500,753,100000,46,23,Side Impact,2,2224,No
POL44170,2000,2751,150000,21,10,Hit & Run,5,14633,Yes
POL39061,500,2836,150000,51,12,Front Collision,3,2457,No
POL75255,500,2926,150000,78,1,Rollover,4,4635,Yes
POL15812,2000,1706,100000,25,16,Hit & Run,2,17827,No
POL69792,2000,2342,100000,23,17,Rollover,5,4631,No
POL66074,1000,601,100000,67,5,Hit & Run,5,6356,No
POL82331,2000,2889,150000,62,0,Front Collision,3,14461,Yes
POL39482,2000,1806,150000,32,15,Front Collision,1,4142,Yes
POL69617,2000,2799,150000,77,11,Side Impact,5,6672,No
POL30592,500,1998,150000,63,8,Rollover,1,19385,No
POL44961,1000,839,100000,46,2,Hit & Run,4,9017,Yes
POL92398,500,1698,100000,67,23,Side Impact,2,16699,Yes
POL57950,1000,2175,50000,34,5,Side Impact,3,10615,No
POL22037,1000,2642,100000,74,16,Rollover,2,12632,No
POL62346,1000,1263,100000,57,21,Rear-End,3,3116,No
POL97256,1000,1500,100000,22,14,Hit & Run,3,19694,No
POL35987,500,2173,50000,48,21,Rear-End,2,1434,No
POL45523,1000,623,50000,80,6,Side Impact,3,18454,No
POL12311,2000,1511,50000,36,19,Hit & Run,4,1990,No
POL80282,1000,1093,50000,35,10,Rollover,4,14164,No
POL26893,2000,1668,50000,69,4,Rear-End,4,10758,No
POL49041,2000,1611,150000,31,11,Front Collision,5,5892,No
POL73230,1000,1024,50000,57,22,Side Impact,2,9290,No
POL80806,500,1277,100000,31,21,Side Impact,3,17099,No
POL57413,500,2749,100000,20,20,Side Impact,3,2394,No
POL79539,500,1942,150000,28,19,Side Impact,4,15701,No
POL57601,1000,2121,100000,82,6,Front Collision,4,18855,No
POL30169,2000,1586,150000,22,13,Front Collision,5,19193,No
POL29022,1000,2036,150000,34,12,Rear-End,5,1867,No
POL74327,1000,2047,150000,75,22,Hit & Run,4,19612,No
POL55173,500,1282,100000,33,11,Rear-End,3,10613,No
POL52982,2000,748,50000,27,0,Side Impact,5,6684,No
POL77903,500,1659,50000,66,16,Hit & Run,4,15337,Yes
POL94605,500,1382,100000,42,6,Front Collision,3,3916,No
POL49204,1000,1545,150000,41,21,Rollover,4,16184,Yes
POL67784,2000,1709,100000,26,21,Hit & Run,4,7272,No
POL95990,2000,917,150000,28,17,Hit & Run,1,6459,No
POL59529,1000,2665,150000,78,5,Rear-End,4,6103,No
POL10563,2000,725,50000,60,15,Rollover,1,14297,No
POL51251,2000,2702,50000,33,23,Hit & Run,2,15731,Yes
POL99217,500,2125,150000,82,15,Front Collision,2,7859,No
