policy_number,policy_deductible,policy_annual_premium,umbrella_limit,insured_age,incident_hour_of_the_day,collision_type,number_of_vehicles,total_claim_amount,fraud_reported
POL18804,1000,1609,150000,85,22,Rollover,3,12204,Yes
POL22579,500,1402,100000,21,11,Rear-End,1,4500,Yes
POL82267,500,2483,100000,81,19,Rollover,5,4342,Yes
POL54583,1000,2298,150000,80,9,Side Impact,3,3723,No
POL46821,500,2737,50000,42,19,Hit & Run,5,9015,No
POL65237,1000,979,150000,79,20,Side Impact,2,18245,No
POL97658,1000,2490,100000,73,0,Front Collision,3,3559,No
POL53683,1000,1905,100000,30,20,Rollover,4,4921,No
POL81681,2000,1318,150000,18,22,Front Collision,4,4874,No
POL34420,1000,1455,150000,22,1,Side Impact,5,19128,No
POL23722,2000,1614,50000,26,12,Front Collision,2,8885,Yes
POL58009,2000,1692,100000,34,1,Rear-End,2,9921,Yes
POL72813,1000,1605,150000,30,10,Side Impact,3,4756,No
POL13187,1000,643,150000,23,17,Rollover,1,15155,No
POL47382,500,1732,150000,80,1,Rollover,4,2547,No
POL25986,1000,1407,150000,44,10,Rollover,3,9329,Yes
POL37508,500,2220,50000,72,2,Rollover,1,3942,Yes
POL55284,1000,1645,100000,43,21,Front Collision,5,1200,Yes
POL75115,2000,1852,50000,35,12,Side Impact,5,16917,Yes
POL98394,500,2760,100000,46,4,Side Impact,3,16479,Yes
POL17982,1000,1227,50000,79,0,Hit & Run,4,4780,No
POL19162,2000,2066,100000,74,20,Rollover,4,11751,No
POL19025,2000,1946,50000,21,8,Rear-End,1,16431,Yes
POL94559,500,1890,100000,85,3,Rollover,4,10229,No
POL55217,500,2423,100000,80,12,Front Collision,3,7467,Yes
POL17835,2000,836,150000,19,6,Side Impact,5,5619,Yes
POL21065,1000,2768,50000,34,2,Rollover,2,18095,No
POL74839,1000,1338,100000,78,18,Rollover,3,7222,Yes
POL83262,1000,1549,100000,26,9,Hit & Run,5,2909,No
POL53408,1000,999,50000,29,12,Hit & Run,5,4858,Yes
POL67648,2000,1704,100000,60,5,Hit & Run,2,12702,Yes
POL74770,500,774,150000,67,20,Front Collision,2,14821,Yes
POL40565,500,842,50000,82,1,Side Impact,4,19842,Yes
POL48637,500,706,100000,21,3,Front Collision,3,18152,No
POL72679,2000,1270,50000,47,16,Hit & Run,5,2831,No
POL52386,500,2343,150000,47,9,Rear-End,2,19613,Yes
POL84108,500,951,150000,21,9,Side Impact,1,6805,Yes
POL17565,500,695,150000,37,16,Front Collision,1,7896,Yes
POL50622,1000,2968,100000,68,13,Rear-End,1,14785,No
POL84334,500,2594,150000,29,6,Rear-End,2,4157,No
POL62728,2000,931,150000,44,7,Front Collision,3,7323,Yes
POL69735,500,1474,100000,58,4,Front Collision,3,14871,Yes
POL28660,2000,1665,50000,47,14,Rollover,2,10879,Yes
POL81385,2000,2432,150000,59,22,Side Impact,3,12734,Yes
POL74355,2000,1365,50000,53,18,Front Collision,1,3324,No
POL43099,2000,2679,150000,71,17,Side Impact,2,4164,No
POL82322,2000,2584,150000,47,9,Side Impact,5,14650,Yes
POL93691,1000,1592,50000,70,20,Hit & Run,1,10996,No
POL93076,500,967,50000,51,10,Hit & Run,2,14831,Yes
POL75200,500,768,50000,59,20,Rollover,5,8192,No
POL35723,2000,1954,150000,67,7,Front Collision,2,18438,Yes
POL73905,1000,1428,50000,45,20,Front Collision,1,2858,No
POL16809,2000,2787,150000,46,4,Rear-End,5,16008,Yes
POL24169,2000,2217,150000,26,11,Side Impact,5,7756,Yes
POL80735,500,2812,50000,39,23,Hit & Run,3,5961,Yes
POL76357,500,1797,100000,19,12,Rear-End,2,10911,No
POL19128,500,1428,150000,50,23,Front Collision,1,12401,No
POL37185,1000,1036,100000,27,20,Front Collision,4,14762,Yes
POL91292,2000,2778,50000,61,22,Rollover,2,10029,Yes
POL72667,1000,2794,100000,72,1,Hit & Run,2,12242,Yes
POL24669,500,1151,50000,37,21,Front Collision,5,6982,No
POL54721,500,2823,100000,32,8,Rollover,1,5640,Yes
POL27779,500,2116,50000,55,3,Rear-End,3,17066,No
POL58117,500,1739,150000,60,1,Side Impact,1,3750,Yes
POL63700,500,1098,150000,51,2,Side Impact,1,17571,Yes
POL36387,1000,2951,100000,39,3,Front Collision,3,5159,Yes
POL31457,2000,1639,150000,50,12,Hit & Run,3,19463,Yes
POL83871,500,1664,150000,55,22,Rollover,5,10002,No
POL18728,1000,1854,100000,54,6,Hit & Run,3,18954,Yes
POL73190,2000,923,150000,52,11,Front Collision,2,6613,Yes
POL81387,500,538,150000,52,18,Hit & Run,3,17153,No
POL48050,1000,2655,100000,27,13,Side Impact,5,2235,Yes
POL28305,500,2009,100000,73,11,Rear-End,3,14260,Yes
POL89292,2000,703,150000,18,17,Rollover,2,6602,Yes
POL53629,500,696,150000,29,19,Rollover,2,12973,Yes
POL39769,2000,2197,100000,72,2,Rear-End,4,6868,No
POL36678,2000,1784,100000,65,22,Rear-End,3,18240,No
POL79776,2000,2181,150000,59,16,Front Collision,4,1733,No
POL23304,1000,1478,150000,41,13,Hit & Run,1,14469,No
POL13470,1000,1159,50000,50,23,Side Impact,4,12791,No
POL64861,500,1664,100000,63,16,Hit & Run,2,14187,Yes
POL34057,2000,2995,100000,67,8,Front Collision,3,9888,No
POL65217,500,1616,50000,28,17,Hit & Run,4,4134,No
POL87664,1000,2316,150000,66,17,Rear-End,2,17139,No
POL78648,500,2750,100000,66,2,Rollover,1,19703,No
POL60842,1000,1780,150000,84,1,Hit & Run,4,4244,No
POL93368,500,821,100000,60,13,Front Collision,1,4366,No
POL29962,500,2617,100000,31,3,Side Impact,5,15582,Yes
POL14946,500,2258,150000,57,2,Side Impact,4,6159,Yes
POL87555,1000,2958,50000,79,0,Rear-End,3,8627,Yes
POL98240,500,1701,150000,62,18,Front Collision,4,11893,No
POL31500,2000,1602,150000,65,7,Hit & Run,3,15186,Yes
POL25601,1000,2444,100000,50,20,Side Impact,2,18769,No
POL31120,2000,1381,50000,62,19,Rollover,1,18617,No
POL89192,500,1178,100000,74,13,Side Impact,2,14949,Yes
POL34551,500,2898,150000,34,17,Front Collision,2,14881,No
POL95361,1000,934,100000,58,17,Rollover,1,19947,Yes
POL54178,1000,550,50000,28,23,Side Impact,5,18374,No
POL65626,1000,779,100000,54,13,Rear-End,1,11707,No
POL14744,1000,1225,50000,85,15,Hit & Run,5,1882,Yes
POL39903,1000,1858,50000,63,11,Side Impact,4,16518,Yes
POL55981,1000,997,100000,44,10,Rollover,1,9532,Yes
POL99586,500,2223,100000,61,19,Side Impact,1,6007,No
POL58405,2000,690,50000,70,9,Rear-End,3,6206,No
POL54566,1000,1943,100000,21,1,Side Impact,4,14031,Yes
POL15364,1000,1082,50000,40,11,Hit & Run,3,13623,Yes
POL19530,2000,2534,50000,29,1,Rear-End,1,3458,Yes
POL51405,1000,758,100000,21,11,Hit & Run,5,11989,Yes
POL88304,2000,2041,50000,29,1,Rear-End,5,9871,No
POL95166,1000,1975,100000,51,10,Front Collision,4,4629,Yes
POL41196,1000,2403,50000,27,21,Hit & Run,3,14812,No
POL40547,1000,2412,100000,45,12,Rear-End,4,2739,Yes
POL42908,1000,2425,150000,73,21,Rear-End,2,13812,No
POL79173,2000,1360,150000,26,8,Rear-End,3,7343,No
POL18691,500,1322,100000,66,21,Rear-End,3,10030,Yes
POL99209,1000,594,150000,70,7,Side Impact,5,16439,No
POL46474,2000,1609,100000,48,2,Hit & Run,4,13299,No
POL43899,2000,903,100000,71,16,Hit & Run,3,15097,No
POL83968,2000,1813,150000,50,5,Rollover,3,3685,No
POL13614,2000,1903,100000,72,6,Rollover,5,16808,No
POL41003,1000,1503,150000,22,19,Rollover,5,19019,Yes
POL43662,500,2621,100000,76,3,Hit & Run,2,19551,No
POL49851,1000,931,50000,57,13,Rear-End,5,8023,Yes
POL63058,2000,2029,150000,36,1,Rollover,1,3909,No
POL84099,1000,1372,50000,76,8,Hit & Run,1,19308,Yes
POL97134,2000,2151,100000,52,20,Rollover,2,12305,No
POL41240,500,2750,100000,25,17,Front Collision,1,10856,No
POL50463,1000,874,150000,60,6,Rollover,4,10913,Yes
POL38211,2000,2724,150000,80,22,Side Impact,4,17830,No
POL84465,2000,666,150000,67,1,Rollover,1,1652,Yes
POL99951,2000,595,50000,26,22,Rear-End,1,2626,Yes
POL26013,500,2988,150000,32,12,Hit & Run,3,5834,Yes
POL64442,500,1487,50000,24,20,Rear-End,5,13546,Yes
POL11448,1000,2406,100000,36,7,Hit & Run,2,3201,Yes
POL74148,1000,2454,50000,27,15,Front Collision,1,11917,No
POL97965,500,2902,100000,38,9,Front Collision,3,19396,No
POL51075,500,2670,100000,54,17,Rear-End,2,8477,Yes
POL47100,2000,2929,100000,55,10,Hit & Run,1,2401,No
POL24616,500,786,100000,39,13,Side Impact,3,5545,Yes
POL41982,2000,1925,150000,34,22,Rollover,5,1541,Yes
POL98883,500,1289,100000,55,17,Side Impact,4,5929,No
POL98477,1000,675,50000,75,22,Front Collision,3,1499,Yes
POL57095,2000,659,50000,37,12,Rollover,4,11213,No
POL59894,1000,1883,50000,80,11,Front Collision,1,6709,Yes
POL60142,500,1358,50000,39,20,Side Impact,4,18046,No
POL47638,500,2615,100000,46,10,Rear-End,5,8836,Yes
POL77173,500,1860,100000,33,23,Side Impact,1,7102,Yes
POL33657,2000,1097,100000,85,21,Side Impact,4,10136,Yes
POL97833,1000,1998,150000,57,16,Side Impact,3,18292,Yes
POL38354,500,1488,100000,67,15,Front Collision,2,11777,Yes
POL99251,2000,2885,50000,46,9,Front Collision,5,15219,Yes
POL51381,500,567,100000,63,10,Side Impact,5,7114,No
POL12830,1000,2764,150000,68,4,Side Impact,2,17482,No
POL12471,500,2890,100000,66,2,Rollover,2,15469,No
POL10229,500,1557,100000,20,0,Rollover,4,12690,No
POL43918,500,2753,50000,47,2,Hit & Run,1,8697,No
POL68849,1000,2478,100000,76,2,Hit & Run,1,12894,No
POL41744,1000,1341,50000,28,0,Hit & Run,5,19093,Yes
POL91782,2000,2960,100000,80,7,Rollover,3,14945,No
POL91980,500,2365,50000,63,10,Rear-End,2,19178,Yes
POL67907,500,2415,100000,73,11,Side Impact,1,8079,Yes
POL99076,500,768,100000,34,17,Hit & Run,2,6978,Yes
POL87620,2000,1061,150000,58,6,Hit & Run,2,2524,No
POL70262,1000,2295,50000,81,4,Rollover,2,8028,No
POL43262,2000,2260,50000,27,16,Hit & Run,3,13513,No
POL52995,1000,948,100000,37,22,Rollover,1,7330,No
POL32386,500,2271,100000,61,17,Hit & Run,1,4158,No
POL89681,1000,1222,100000,74,9,Rollover,5,5967,Yes
POL63419,2000,2542,100000,69,13,Rollover,1,11752,No
POL47178,500,1210,150000,47,22,Hit & Run,4,12647,Yes
POL79423,500,2489,100000,78,2,Front Collision,4,7461,Yes
POL91716,500,1366,150000,63,22,Rear-End,2,12973,Yes
POL23309,2000,1800,100000,58,23,Rear-End,1,1042,Yes
POL99671,1000,2240,100000,44,19,Rollover,2,1774,No
POL59834,500,2982,100000,50,12,Side Impact,3,11051,No
POL57305,2000,1107,150000,29,15,Hit & Run,2,19570,No
POL71982,1000,2280,150000,82,19,Rear-End,3,15342,Yes
POL18338,1000,1123,100000,66,5,Rollover,5,6856,No
POL76541,1000,2161,100000,37,7,Front Collision,3,5385,Yes
POL32251,500,716,50000,58,4,Front Collision,1,13598,Yes
POL96565,500,2817,150000,23,9,Side Impact,5,11952,No
POL67703,2000,639,150000,57,21,Side Impact,3,9361,Yes
POL35876,2000,2360,100000,73,19,Rear-End,4,13337,No
POL16092,2000,998,150000,72,0,Rollover,3,5514,Yes
POL22461,500,1739,100000,43,4,Rear-End,5,7014,Yes
POL19921,1000,1820,150000,57,5,Side Impact,4,18848,No
POL46902,500,1673,100000,50,1,Rollover,4,16687,No
POL23398,1000,2557,100000,85,22,Hit & Run,3,6257,No
POL85788,500,1127,50000,26,13,Rollover,1,1277,No
POL53862,2000,2605,50000,73,12,Rollover,3,16812,Yes
POL89604,2000,1279,50000,74,17,Side Impact,5,8462,Yes
POL78717,1000,927,100000,81,11,Rear-End,1,14129,Yes
POL24716,1000,693,50000,20,2,Front Collision,5,10608,Yes
POL98752,2000,2536,150000,32,7,Rear-End,1,4483,Yes
POL36313,2000,1800,50000,25,18,Rear-End,2,3015,No
POL32569,1000,2914,100000,61,13,Front Collision,2,1433,Yes
POL99707,500,1276,100000,43,14,Hit & Run,1,15113,No
POL64449,1000,1955,100000,21,0,Side Impact,1,13367,Yes
POL73291,500,2286,150000,46,22,Rollover,4,12900,Yes
POL18202,1000,2088,100000,18,23,Rollover,1,5221,No
POL84057,500,2129,100000,25,12,Hit & Run,2,9246,No
POL99678,500,522,150000,40,11,Rollover,5,16901,Yes
POL79892,1000,2893,50000,20,15,Side Impact,1,18459,Yes
POL18772,500,1636,100000,48,18,Hit & Run,4,2102,Yes
POL41834,2000,2517,100000,34,15,Side Impact,1,17995,No
POL72195,1000,2171,100000,61,19,Rear-End,1,11951,Yes
POL62121,500,2050,100000,33,12,Rear-End,5,8624,No
POL48384,2000,960,50000,54,17,Side Impact,1,12470,Yes
POL59858,1000,1055,100000,33,3,Front Collision,4,3833,No
POL57262,500,2468,100000,61,19,Rollover,1,12213,Yes
POL91393,500,1876,150000,21,8,Hit & Run,3,13340,No
POL18159,1000,702,100000,76,6,Rear-End,4,6568,No
POL88444,2000,643,50000,67,7,Hit & Run,5,5005,No
POL81529,500,1958,150000,81,13,Front Collision,3,11461,Yes
POL44411,1000,2830,100000,30,22,Rollover,1,4271,Yes
POL17063,1000,1618,100000,53,16,Rear-End,4,11319,Yes
POL87727,500,669,150000,19,5,Front Collision,5,1630,Yes
POL58619,500,777,100000,80,15,Front Collision,3,4869,Yes
POL35795,500,1490,150000,34,9,Hit & Run,3,13882,No
POL83244,500,685,50000,48,23,Hit & Run,2,7431,Yes
POL69070,1000,1040,50000,57,10,Rollover,1,9493,No
POL85038,500,2096,150000,32,17,Rollover,4,9468,No
POL50443,2000,2101,150000,73,11,Rear-End,5,15154,Yes
POL34924,1000,1764,50000,36,11,Hit & Run,4,9158,No
POL82249,2000,1779,50000,76,15,Hit & Run,4,8900,No
POL94101,1000,1607,150000,82,22,Hit & Run,3,9217,Yes
POL13533,2000,2117,50000,27,18,Hit & Run,1,6877,Yes
POL99877,1000,2786,50000,58,23,Rollover,2,13529,Yes
POL31507,1000,828,100000,55,19,Hit & Run,4,15853,Yes
POL59366,2000,2089,150000,57,3,Front Collision,2,16625,Yes
POL84125,500,1346,50000,75,2,Side Impact,2,7468,Yes
POL99583,1000,1951,50000,67,17,Rear-End,2,10956,Yes
POL21367,500,2525,150000,81,15,Side Impact,5,15676,Yes
POL55206,500,1814,50000,84,3,Rear-End,3,8823,No
POL10133,1000,2256,150000,18,20,Rear-End,1,17191,No
POL54929,2000,1545,50000,65,22,Rollover,3,9413,Yes
POL60835,500,2749,50000,59,22,Front Collision,4,8270,Yes
POL63188,2000,1346,150000,21,12,Front Collision,1,1028,Yes
POL24554,500,951,150000,84,0,Rollover,4,6418,No
POL95510,1000,1472,150000,33,8,Hit & Run,3,13478,Yes
POL67262,1000,2143,50000,49,14,Front Collision,5,12608,No
POL34275,1000,1618,50000,49,1,Rear-End,3,17570,Yes
POL95712,2000,629,150000,81,10,Side Impact,5,6243,No
POL44453,1000,939,100000,57,16,Front Collision,1,17284,No
POL46939,500,2912,150000,25,16,Front Collision,1,4145,Yes
POL22234,500,523,100000,38,8,Side Impact,2,7049,No
POL31202,2000,1965,150000,45,3,Front Collision,1,2368,Yes
POL54702,2000,875,50000,49,6,Side Impact,5,11156,No
POL51458,2000,2356,100000,57,12,Rear-End,5,13103,No
POL73241,2000,2330,150000,71,20,Front Collision,3,13256,No
POL92917,500,1668,50000,56,23,Side Impact,4,5454,No
POL19458,2000,1919,150000,67,21,Hit & Run,3,7080,No
POL31601,1000,765,100000,80,12,Rear-End,4,18722,No
POL63707,500,2416,150000,44,22,Hit & Run,3,2887,No
